id  | dz  | ch | cu rate (muon per p) | f rate (muon per p) 
448 |  0  | -- | 132.044447834 +/- 4.74313882749 | 6047.05061028 +/- 14.96382563
--  | --  | D3 | 30.020835232 +/- 1.78677200508 | 954.92021069 +/- 5.27096941849
--  | --  | D2 | 75.3070862406 +/- 3.38605320185 | 2982.11328917 +/- 10.7399703233
--  | --  | D1 | 26.7165263615 +/- 2.79959937566 | 2110.01711042 +/- 8.77792015878
451 | 0.5 | -- | 93.7112390465 +/- 10.2829632145 | 4078.46263389 +/- 32.6027166284
--  | --  | D3 | 34.9054615822 +/- 4.30602765765 | 699.74435676 +/- 11.9780518982
--  | --  | D2 | 52.4965043943 +/- 7.54998036236 | 2157.87410682 +/- 23.7348333395
--  | --  | D1 | 6.30927306994 +/- 5.49405015169 | 1220.84417031 +/- 18.2688834179
452 | 0.5 | -- | 105.985276347 +/- 5.01342729159 | 4157.78694153 +/- 15.5106161007
--  | --  | D3 | 30.1832113793 +/- 2.07873389633 | 744.295034675 +/- 5.77869636613
--  | --  | D2 | 57.4896616639 +/- 3.68306518946 | 2205.20244099 +/- 11.2947892857
--  | --  | D1 | 18.3124033033 +/- 2.69165133099 | 1208.28946586 +/- 8.62406446969
455 |  1  | -- | 99.671187093 +/- 4.17777859341 | 3846.57911741 +/- 12.8113750182
--  | --  | D3 | 27.2503031339 +/- 1.73340412506 | 687.508836415 +/- 4.77951684546
--  | --  | D2 | 55.195257676 +/- 3.07672346897 | 2033.42292092 +/- 9.31512376416
--  | --  | D1 | 17.2256262831 +/- 2.23168060335 | 1125.64736008 +/- 7.11858066016
1mm |  1  | -- | 9.6603916027e-09 +/- 2624.23048872 | 30430.6629491 +/- 391.703308807
--  | --  | co | 9.6603916027e-09 +/- 2624.23048872 | 30430.6629491 +/- 391.703308807
5mm |  5  | -- | 1.46694069122e-09 +/- 114.196991915 | 20803.7837812 +/- 380.254490604
--  | --  | co | 1.46694069122e-09 +/- 114.196991915 | 20803.7837812 +/- 380.254490604
458 |  5  | -- | 70.6802066136 +/- 3.3711933366 | 2517.27938636 +/- 10.0433095502
--  | --  | D3 | 15.2846552184 +/- 1.35107631213 | 410.325626635 +/- 3.68415925853
--  | --  | D2 | 44.7565692778 +/- 2.48059334094 | 1302.97046808 +/- 7.20120822057
--  | --  | D1 | 10.6389821174 +/- 1.83951762517 | 803.983291644 +/- 5.65805424847
459 |  5  | -- | 84.2034335643 +/- 5.1606701988 | 2561.91768335 +/- 15.1190604078
--  | --  | D3 | 16.8786330039 +/- 2.06125048935 | 423.557781727 +/- 5.57649480316
--  | --  | D2 | 51.2465050976 +/- 3.77397248017 | 1331.84790458 +/- 10.8431165818
--  | --  | D1 | 16.0782954627 +/- 2.85183680801 | 806.511997043 +/- 8.48024752434
0.5 | 0.5 | -- | 4.49159270614e-09 +/- 165.781526203 | 32495.0564081 +/- 475.206784473
--  | --  | co | 4.49159270614e-09 +/- 165.781526203 | 32495.0564081 +/- 475.206784473
5mm |  0  | -- | 4.0849844762e-07 +/- 447.957463282 | 36839.4466499 +/- 506.055295876
--  | --  | co | 4.0849844762e-07 +/- 447.957463282 | 36839.4466499 +/- 506.055295876
********************************************************************************
id  | dz  | ch |          cu           |           f           |   Chi^2/NDF  
448 |  0  | -- | 11497.46+/- 412.97 |  526532.65+/-1285.01  |    -1 / -1   
--  | --  | D3 | 2613.99+/- 155.58 |  83147.42+/- 457.69  |  1928 / 1237 
--  | --  | D2 | 6557.19+/- 294.82 |  259660.47+/- 929.10  |  5393 / 1237 
--  | --  | D1 | 2326.28+/- 243.77 |  183724.76+/- 760.61  |  2688 / 1237 
451 | 0.5 | -- | 1039.80+/- 114.09 |  45253.80+/- 355.36  |    -1 / -1   
--  | --  | D3 |  387.30+/-  47.78 |  7764.22+/- 132.40  |  1719 / 1237 
--  | --  | D2 |  582.49+/-  83.77 |  23943.34+/- 260.91  |  1523 / 1237 
--  | --  | D1 |   70.01+/-  60.96 |  13546.24+/- 201.69  |  2876 / 1237 
452 | 0.5 | -- | 5100.49+/- 241.24 |  200091.63+/- 732.82  |    -1 / -1   
--  | --  | D3 | 1452.55+/- 100.03 |  35818.86+/- 276.93  |  1525 / 1237 
--  | --  | D2 | 2766.66+/- 177.23 |  106124.38+/- 538.32  |  2098 / 1237 
--  | --  | D1 |  881.28+/- 129.53 |  58148.39+/- 412.97  |  1635 / 1237 
455 |  1  | -- | 6375.64+/- 267.21 |  246053.01+/- 803.44  |    -1 / -1   
--  | --  | D3 | 1743.11+/- 110.87 |  43977.68+/- 304.36  |  1582 / 1237 
--  | --  | D2 | 3530.66+/- 196.79 |  130071.37+/- 589.71  |  2316 / 1237 
--  | --  | D1 | 1101.87+/- 142.75 |  72003.96+/- 452.89  |  1714 / 1237 
1mm |  1  | -- |    0.00+/- 378.40 |  4387.98+/-  56.48  |    -1 / -1   
--  | --  | co |    0.00+/- 378.40 |  4387.98+/-  56.48  |   579 / 1241 
5mm |  5  | -- |    0.00+/-  16.47 |  2999.82+/-  54.83  |    -1 / -1   
--  | --  | co |    0.00+/-  16.47 |  2999.82+/-  54.83  |   575 / 1241 
458 |  5  | -- | 4134.76+/- 197.17 |  147259.79+/- 570.77  |    -1 / -1   
--  | --  | D3 |  894.15+/-  79.03 |  24003.88+/- 214.32  |  1299 / 1237 
--  | --  | D2 | 2618.24+/- 145.09 |  76223.22+/- 415.05  |  1430 / 1237 
--  | --  | D1 |  622.38+/- 107.61 |  47032.68+/- 327.99  |  1270 / 1237 
459 |  5  | -- | 2171.94+/- 133.08 |  66082.01+/- 378.50  |    -1 / -1   
--  | --  | D3 |  435.37+/-  53.16 |  10925.23+/- 143.00  |  1518 / 1237 
--  | --  | D2 | 1321.85+/-  97.33 |  34353.63+/- 275.39  |  1447 / 1237 
--  | --  | D1 |  414.72+/-  73.56 |  20803.14+/- 216.73  |  1268 / 1237 
0.5 | 0.5 | -- |    0.00+/-  23.91 |  4685.65+/-  68.52  |    -1 / -1   
--  | --  | co |    0.00+/-  23.91 |  4685.65+/-  68.52  |   759 / 1241 
5mm |  0  | -- |    0.00+/-  64.59 |  5312.10+/-  72.97  |    -1 / -1   
--  | --  | co |    0.00+/-  64.59 |  5312.10+/-  72.97  |   690 / 1241 
