id  | dz  | ch | cu rate (muon per p) | f rate (muon per p) 
448 |  0  | -- | 228.657896427 +/- 4.58613066654 | 6064.07807151 +/- 14.9295028707
--  | --  | D3 | 50.8395373028 +/- 1.76530343371 | 955.824654338 +/- 5.26712661265
--  | --  | D2 | 130.774534315 +/- 3.28619345833 | 2985.7140112 +/- 10.723503892
--  | --  | D1 | 47.0438248092 +/- 2.66686054685 | 2122.53940597 +/- 8.74059631848
451 | 0.5 | -- | 179.619729747 +/- 10.3006481082 | 4080.08778271 +/- 32.5096898236
--  | --  | D3 | 57.5852689317 +/- 4.41590835456 | 698.797853618 +/- 11.9662826844
--  | --  | D2 | 102.856562579 +/- 7.56741887308 | 2155.91023345 +/- 23.6850727861
--  | --  | D1 | 19.1778982369 +/- 5.41267047909 | 1225.37969565 +/- 18.1744213079
452 | 0.5 | -- | 193.813719033 +/- 4.97025651164 | 4159.69604746 +/- 15.4867509711
--  | --  | D3 | 51.9991898829 +/- 2.08623742663 | 743.608456854 +/- 5.77239661878
--  | --  | D2 | 109.664360211 +/- 3.63663799688 | 2202.15654596 +/- 11.2725275236
--  | --  | D1 | 32.1501689392 +/- 2.66738752149 | 1213.93104465 +/- 8.61402953296
455 |  1  | -- | 186.835731507 +/- 4.14153343077 | 3845.32351983 +/- 12.7902516516
--  | --  | D3 | 51.2108007789 +/- 1.75092561664 | 684.537499605 +/- 4.77054733581
--  | --  | D2 | 104.809554166 +/- 3.02554165618 | 2030.03401917 +/- 9.29614886371
--  | --  | D1 | 30.8153765616 +/- 2.21898468407 | 1130.75200105 +/- 7.11151445618
1mm |  1  | -- | 2.5096045352e-06 +/- 233.095296237 | 30811.9288041 +/- 462.038535208
--  | --  | co | 2.5096045352e-06 +/- 233.095296237 | 30811.9288041 +/- 462.038535208
5mm |  5  | -- | 2.05887550708e-05 +/- 156.391492074 | 21056.3906701 +/- 381.92928141
--  | --  | co | 2.05887550708e-05 +/- 156.391492074 | 21056.3906701 +/- 381.92928141
458 |  5  | -- | 160.441921441 +/- 3.45578750737 | 2502.19556032 +/- 10.0131239316
--  | --  | D3 | 30.2413869254 +/- 1.40089193131 | 408.473729165 +/- 3.6753071166
--  | --  | D2 | 102.307877344 +/- 2.54834497801 | 1290.00415857 +/- 7.17508751667
--  | --  | D1 | 27.8926571723 +/- 1.86379880232 | 803.717672584 +/- 5.64666054521
459 |  5  | -- | 172.770341154 +/- 5.28222275065 | 2549.44192669 +/- 15.0762194919
--  | --  | D3 | 31.9519688768 +/- 2.13706447167 | 421.964260518 +/- 5.56662540714
--  | --  | D2 | 107.253169908 +/- 3.88749219048 | 1321.14590621 +/- 10.8133026328
--  | --  | D1 | 33.5652023695 +/- 2.86173135671 | 806.331759957 +/- 8.45250336371
0.5 | 0.5 | -- | 1.38441740781e-08 +/- 108.259896792 | 32807.1162346 +/- 476.802444967
--  | --  | co | 1.38441740781e-08 +/- 108.259896792 | 32807.1162346 +/- 476.802444967
5mm |  0  | -- | 1.2137827824e-07 +/- 109.247016711 | 37172.4964531 +/- 507.490448571
--  | --  | co | 1.2137827824e-07 +/- 109.247016711 | 37172.4964531 +/- 507.490448571
********************************************************************************
id  | dz  | ch |          cu           |           f           |   Chi^2/NDF  
448 |  0  | -- | 19909.85+/- 399.24 |  528015.27+/-1281.88  |    -1 / -1   
--  | --  | D3 | 4426.73+/- 153.70 |  83226.17+/- 457.36  |  4222 / 2486 
--  | --  | D2 | 11386.88+/- 286.10 |  259973.99+/- 927.65  | 12375 / 2486 
--  | --  | D1 | 4096.23+/- 232.20 |  184815.10+/- 757.30  |  6261 / 2486 
451 | 0.5 | -- | 1993.02+/- 114.26 |  45271.83+/- 354.31  |    -1 / -1   
--  | --  | D3 |  638.95+/-  48.99 |  7753.72+/- 132.27  |  3837 / 2486 
--  | --  | D2 | 1141.28+/-  83.95 |  23921.55+/- 260.36  |  3248 / 2486 
--  | --  | D1 |  212.79+/-  60.06 |  13596.57+/- 200.63  |  3042 / 2486 
452 | 0.5 | -- | 9327.20+/- 239.10 |  200183.50+/- 731.64  |    -1 / -1   
--  | --  | D3 | 2502.44+/- 100.38 |  35785.82+/- 276.63  |  3281 / 2486 
--  | --  | D2 | 5277.55+/- 174.97 |  105977.79+/- 537.25  |  4759 / 2486 
--  | --  | D1 | 1547.21+/- 128.36 |  58419.89+/- 412.47  |  3541 / 2486 
455 |  1  | -- | 11951.27+/- 264.80 |  245972.69+/- 802.07  |    -1 / -1   
--  | --  | D3 | 3275.79+/- 111.98 |  43787.61+/- 303.80  |  3646 / 2486 
--  | --  | D2 | 6704.32+/- 193.48 |  129854.59+/- 588.51  |  5394 / 2486 
--  | --  | D1 | 1971.16+/- 141.94 |  72330.48+/- 452.42  |  3600 / 2486 
1mm |  1  | -- |    0.00+/-  33.61 |  4442.95+/-  66.62  |    -1 / -1   
--  | --  | co |    0.00+/-  33.61 |  4442.95+/-  66.62  |  1049 / 2490 
5mm |  5  | -- |    0.00+/-  22.55 |  3036.25+/-  55.07  |    -1 / -1   
--  | --  | co |    0.00+/-  22.55 |  3036.25+/-  55.07  |   986 / 2490 
458 |  5  | -- | 9385.78+/- 201.97 |  146377.39+/- 569.15  |    -1 / -1   
--  | --  | D3 | 1769.11+/-  81.93 |  23895.54+/- 213.81  |  3078 / 2486 
--  | --  | D2 | 5984.97+/- 148.97 |  75464.70+/- 413.62  |  3713 / 2486 
--  | --  | D1 | 1631.71+/- 109.02 |  47017.15+/- 327.32  |  2863 / 2486 
459 |  5  | -- | 4456.43+/- 136.10 |  65760.21+/- 377.47  |    -1 / -1   
--  | --  | D3 |  824.17+/-  55.11 |  10884.13+/- 142.75  |  3608 / 2486 
--  | --  | D2 | 2766.48+/- 100.20 |  34077.59+/- 274.68  |  3179 / 2486 
--  | --  | D1 |  865.78+/-  73.81 |  20798.49+/- 216.01  |  2824 / 2486 
0.5 | 0.5 | -- |    0.00+/-  15.61 |  4730.65+/-  68.75  |    -1 / -1   
--  | --  | co |    0.00+/-  15.61 |  4730.65+/-  68.75  |  1200 / 2490 
5mm |  0  | -- |    0.00+/-  15.75 |  5360.12+/-  73.18  |    -1 / -1   
--  | --  | co |    0.00+/-  15.75 |  5360.12+/-  73.18  |  1288 / 2490 
