mat | dz  |            count            |          integral             |  Chi^2/NDF  
    |     |      cu      |      f       |      cu      |      f         |             
Ai  |   5 |    881+/-30  |  11722+/-108 |   1002+/-59  |  11598+/-118   |   1145/1991 
Ai  |   5 | na           |  36964+/-192 | na           |  36959+/-192   |   1363/1993 
Al  | 0.5 |    837+/-29  |  11827+/-109 |    886+/-58  |  11776+/-119   |   1367/1991 
Al  | 0.5 | na           |  37931+/-195 | na           |  37928+/-195   |   1522/1993 
Al  |   1 |    891+/-30  |  11723+/-108 |    888+/-57  |  11724+/-118   |   1234/1991 
Al  |   1 | na           |  37666+/-194 | na           |  37660+/-194   |   1539/1993 
Al  |   5 |    453+/-21  |   7078+/-84  |    462+/-42  |   7069+/-92    |   1036/1991 
Al  |   5 | na           |  23235+/-152 | na           |  23234+/-152   |   1233/1993 
