mat | dz  |            count            |          integral           |  Chi^2/NDF  
    |     |      cu      |      f       |      cu      |      f       |             
Ai  |   5 |    881±30    |  11722±108   |   1005±62    |  11595±219   |   1146/1991 
Ai  |   5 | na           |  36964±192   | na           |  36959±337   |   1400/1993 
Al  | 0.5 |    837±29    |  11827±109   |    894±61    |  11768±221   |   1374/1991 
Al  | 0.5 | na           |  37931±195   | na           |  37928±341   |   1478/1993 
Al  |   1 |    891±30    |  11723±108   |    890±61    |  11722±220   |   1236/1991 
Al  |   1 | na           |  37666±194   | na           |  37660±340   |   1538/1993 
Al  |   5 |    453±21    |   7078±84    |    443±45    |   7088±170   |   1024/1991 
Al  |   5 | na           |  23235±152   | na           |  23234±267   |   1247/1993 
