mat | dz  |                count            |              integral           |  Chi^2/NDF  
    |     |        cu      |      f         |      cu        |        f       |             
Ai  |   5 |    881+/-30    |  11722+/-108   |   1090+/-156   |  11510+/-259   |   1145/1991 
Ai  |   5 | na             |  36964+/-192   | na             |  36959+/-337   |   1400/1993 
Al  | 0.5 |    837+/-29    |  11827+/-109   |   1092+/-180   |  11570+/-285   |   1371/1991 
Al  | 0.5 | na             |  37931+/-195   | na             |  37928+/-341   |   1478/1993 
Al  |   1 |    891+/-30    |  11723+/-108   |    982+/-165   |  11630+/-267   |   1233/1991 
Al  |   1 | na             |  37666+/-194   | na             |  37660+/-340   |   1538/1993 
Al  |   5 |    453+/-21    |   7078+/-84    |    390+/-97    |   7141+/-180   |   1023/1991 
Al  |   5 | na             |  23235+/-152   | na             |  23234+/-267   |   1247/1993 
