mat | dz  |              count              |            integral             |  Chi^2/NDF  
    |     |       cu       |        f        |       cu       |       f        |             
Ai  |   5 |    881+/-30    |  11722+/-108   |   1092+/-153   |  11487+/-261   |    756/1243 
Ai  |   5 | na           |  36964+/-192   | na           |  36926+/-336   |    994/1245 
Al  | 0.5 |    837+/-29    |  11827+/-109   |   1103+/-181   |  11540+/-291   |    982/1243 
Al  | 0.5 | na           |  37931+/-195   | na           |  37893+/-340   |   1034/1245 
Al  |   1 |    891+/-30    |  11723+/-108   |    986+/-163   |  11606+/-271   |    801/1243 
Al  |   1 | na           |  37666+/-194   | na           |  37626+/-339   |   1079/1245 
Al  |   5 |    453+/-21    |   7078+/-84    |    384+/-96    |   7134+/-182   |    714/1243 
Al  |   5 | na           |  23235+/-152   | na           |  23213+/-266   |    864/1245 
