mat | dz  |              count              |            integral             |  Chi^2/NDF  
    |     |       cu       |        f       |       cu       |       f        |             
Ai  |   5 |    881+/-30    |  11722+/-108   |    965+/-58    |  11613+/-119   |    758/1243 
Ai  |   5 | na             |  36964+/-192   | na             |  36925+/-192   |    962/1245 
Al  | 0.5 |    837+/-29    |  11827+/-109   |    852+/-57    |  11789+/-119   |    981/1243 
Al  | 0.5 | na             |  37931+/-195   | na             |  37893+/-195   |   1068/1245 
Al  |   1 |    891+/-30    |  11723+/-108   |    852+/-56    |  11739+/-118   |    802/1243 
Al  |   1 | na             |  37666+/-194   | na             |  37626+/-194   |   1076/1245 
Al  |   5 |    453+/-21    |   7078+/-84    |    441+/-42    |   7079+/-92    |    730/1243 
Al  |   5 | na             |  23235+/-152   | na             |  23213+/-152   |    850/1245 
