mat | dz  |            count            |          integral           |  Chi^2/NDF  
    |     |      cu      |      f       |      cu      |      f       |             
Ai  |   5 |    881±30    |  11722±108   |    300±40    |  11919±119   |    324/196  
Ai  |   5 | na           |  36964±192   | na           |  36127±188   |   1073/198  
Al  | 0.5 |    837±29    |  11827±109   |    214±40    |  12094±120   |    444/196  
Al  | 0.5 | na           |  37931±195   | na           |  37074±190   |    982/198  
Al  |   1 |    891±30    |  11723±108   |    223±39    |  12033±119   |    349/196  
Al  |   1 | na           |  37666±194   | na           |  36813±190   |   1136/198  
Al  |   5 |    453±21    |   7078±84    |     89±30    |   7244±92    |    277/196  
Al  |   5 | na           |  23235±152   | na           |  22711±149   |    711/198  
